"","X.1","X","title","artist","top.genre","added","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop","country"
"1",1,1,"Dance Monkey","Tones and I","australian pop","1969-12-31",98,59,82,-6,15,51,209,69,9,100,"world"
"2",2,2,"ROXANNE","Arizona Zervas","pop rap","1969-12-31",117,60,62,-6,46,46,164,5,15,99,"world"
"3",3,3,"Memories","Maroon 5","pop","1969-12-31",91,32,76,-7,8,57,189,84,5,99,"world"
"4",4,4,"Circles","Post Malone","dfw rap","1969-12-31",120,76,70,-3,9,55,215,19,4,99,"world"
"5",5,5,"All I Want for Christmas Is You","Mariah Carey","dance pop","1969-12-31",150,63,34,-7,7,35,241,16,4,98,"world"
"6",6,6,"everything i wanted","Billie Eilish","electropop","1969-12-31",120,23,70,-14,11,24,245,90,10,98,"world"
"7",7,7,"Falling","Trevor Daniel","alternative r&b","1969-12-31",127,43,78,-9,9,24,159,12,4,97,"world"
"8",8,8,"RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop","1969-12-31",105,72,72,-7,24,67,222,3,7,97,"world"
"9",9,9,"Don't Start Now","Dua Lipa","dance pop","1969-12-31",124,79,79,-5,10,68,183,1,8,97,"world"
"10",10,10,"Tusa","KAROL G","latin","1969-12-31",101,72,80,-3,6,57,201,30,30,96,"world"
"11",11,11,"Blinding Lights","The Weeknd","canadian contemporary r&b","1969-12-31",171,80,51,-4,9,35,202,0,6,96,"world"
"12",12,12,"Someone You Loved","Lewis Capaldi","pop","1969-12-31",110,41,50,-6,11,45,182,75,3,96,"world"
"13",13,13,"Santa Tell Me","Ariana Grande","dance pop","1969-12-31",192,62,53,-7,29,59,204,5,12,95,"world"
"14",14,14,"Rockin' Around The Christmas Tree","Brenda Lee","adult standards","1969-12-31",67,47,59,-9,51,90,126,61,5,93,"world"
"15",15,15,"Jingle Bell Rock","Bobby Helms","adult standards","1969-12-31",120,42,75,-8,7,81,131,64,4,92,"world"
"16",16,16,"It's the Most Wonderful Time of the Year","Andy Williams","adult standards","1969-12-31",202,60,24,-8,12,78,152,77,4,92,"world"
"17",17,17,"Happy Xmas (War Is Over) - Remastered","John Lennon","album rock","1969-12-31",147,61,33,-11,77,40,214,32,3,92,"world"
"18",18,18,"Mistletoe","Justin Bieber","canadian pop","1969-12-31",162,56,66,-9,8,85,183,50,5,92,"world"
"19",19,19,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards","1969-12-31",142,26,65,-13,36,84,155,90,6,91,"world"
"20",20,20,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock","1969-12-31",95,51,77,-9,7,77,228,32,3,91,"world"
"21",21,21,"The Christmas Song (Merry Christmas To You)","Nat King Cole","adult standards","1969-12-31",79,21,32,-15,14,21,192,92,3,89,"world"
